id,description
T1546.005,Trap
T1546.006,LC_LOAD_DYLIB Addition
T1546.007,Netsh Helper DLL
T1546.008,Accessibility Features
T1546.009,AppCert DLLs
T1546.010,AppInit DLLs
T1546.011,Application Shimming
T1546.012,Image File Execution Options Injection
T1546.013,PowerShell Profile
T1546.014,Emond
T1546.015,Component Object Model Hijacking
T1546.016,Installer Packages
T1133,External Remote Services
T1574,Hijack Execution Flow
T1574.001,DLL Search Order Hijacking
T1574.002,DLL Side-Loading
T1574.004,Dylib Hijacking
T1574.005,Executable Installer File Permissions Weakness
T1574.006,Dynamic Linker Hijacking
T1574.007,Path Interception by PATH Environment Variable
T1574.008,Path Interception by Search Order Hijacking
T1574.009,Path Interception by Unquoted Path
T1574.010,Services File Permissions Weakness
T1574.011,Services Registry Permissions Weakness
T1574.012,COR_PROFILER
T1574.013,KernelCallbackTable
T1525,Implant Internal Image
T1556,Modify Authentication Process
T1556.001,Domain Controller Authentication
T1556.002,Password Filter DLL
T1556.003,Pluggable Authentication Modules
T1556.004,Network Device Authentication
T1556.005,Reversible Encryption
T1556.006,Multi-Factor Authentication
T1556.007,Hybrid Identity
T1137,Office Application Startup
T1137.001,Office Template Macros
T1137.002,Office Test
T1137.003,Outlook Forms
T1137.004,Outlook Home Page
T1137.005,Outlook Rules
T1137.006,Add-ins
T1542,Pre-OS Boot
T1542.001,System Firmware
T1542.002,Component Firmware
T1542.003,Bootkit
T1542.004,ROMMONkit
T1542.005,TFTP Boot
T1053,Scheduled Task/Job
T1053.002,At
T1053.003,Cron
T1053.004,Launchd
T1053.005,Scheduled Task
T1053.006,Systemd Timers
T1053.007,Container Orchestration Job
T1505,Server Software Component
T1505.001,SQL Stored Procedures
T1505.002,Transport Agent
T1505.003,Web Shell
T1505.004,IIS Components
T1505.005,Terminal Services DLL
T1205,Traffic Signaling
T1205.001,Port Knocking
T1205.002,Socket Filters
T1078,Valid Accounts
T1078.001,Default Accounts
T1078.002,Domain Accounts
T1078.003,Local Accounts
T1078.004,Cloud Accounts
TA0004,Privilege Escalation
T1548,Abuse Elevation Control Mechanism
T1548.001,Setuid and Setgid
T1548.002,Bypass User Account Control
T1548.003,Sudo and Sudo Caching
T1548.004,Elevated Execution with Prompt
T1134,Access Token Manipulation
T1134.001,Token Impersonation/Theft
T1134.002,Create Process with Token
T1134.003,Make and Impersonate Token
T1134.004,Parent PID Spoofing
T1134.005,SID-History Injection
T1547,Boot or Logon Autostart Execution
T1547.001,Registry Run Keys / Startup Folder
T1547.002,Authentication Package
T1547.003,Time Providers
T1547.004,Winlogon Helper DLL
T1547.005,Security Support Provider
T1547.006,Kernel Modules and Extensions
T1547.007,Re-opened Applications
T1547.008,LSASS Driver
T1547.009,Shortcut Modification
T1547.010,Port Monitors
T1547.012,Print Processors
T1547.013,XDG Autostart Entries
T1547.014,Active Setup
T1547.015,Login Items
T1037,Boot or Logon Initialization Scripts
T1037.001,Logon Script (Windows)
T1037.002,Login Hook
T1037.003,Network Logon Script
T1037.004,RC Scripts
T1037.005,Startup Items
T1543,Create or Modify System Process
T1543.001,Launch Agent
T1543.002,Systemd Service
T1543.003,Windows Service
T1543.004,Launch Daemon
T1484,Domain Policy Modification
T1484.001,Group Policy Modification
T1484.002,Domain Trust Modification
T1611,Escape to Host
T1546,Event Triggered Execution
T1546.001,Change Default File Association
T1546.002,Screensaver
T1546.003,Windows Management Instrumentation Event Subscription
T1546.004,Unix Shell Configuration Modification
T1546.005,Trap
T1546.006,LC_LOAD_DYLIB Addition
T1546.007,Netsh Helper DLL
T1546.008,Accessibility Features
T1546.009,AppCert DLLs
T1546.010,AppInit DLLs
T1546.011,Application Shimming
T1546.012,Image File Execution Options Injection
T1546.013,PowerShell Profile
T1546.014,Emond
T1546.015,Component Object Model Hijacking
T1546.016,Installer Packages
T1068,Exploitation for Privilege Escalation
T1574,Hijack Execution Flow
T1574.001,DLL Search Order Hijacking
T1574.002,DLL Side-Loading
T1574.004,Dylib Hijacking
T1574.005,Executable Installer File Permissions Weakness
T1574.006,Dynamic Linker Hijacking
T1574.007,Path Interception by PATH Environment Variable
T1574.008,Path Interception by Search Order Hijacking
T1574.009,Path Interception by Unquoted Path
T1574.010,Services File Permissions Weakness
T1574.011,Services Registry Permissions Weakness
T1574.012,COR_PROFILER
T1574.013,KernelCallbackTable
T1055,Process Injection
T1055.001,Dynamic-link Library Injection
T1055.002,Portable Executable Injection
T1055.003,Thread Execution Hijacking
T1055.004,Asynchronous Procedure Call
T1055.005,Thread Local Storage
T1055.008,Ptrace System Calls
T1055.009,Proc Memory
T1055.011,Extra Window Memory Injection
T1055.012,Process Hollowing
T1055.013,Process Doppelgänging
T1055.014,VDSO Hijacking
T1055.015,ListPlanting
T1053,Scheduled Task/Job
T1053.002,At
T1053.003,Cron
T1053.004,Launchd
T1053.005,Scheduled Task
T1053.006,Systemd Timers
T1053.007,Container Orchestration Job
T1078,Valid Accounts
T1078.001,Default Accounts
T1078.002,Domain Accounts
T1078.003,Local Accounts
T1078.004,Cloud Accounts
TA0005,Defense Evasion
T1548,Abuse Elevation Control Mechanism
T1548.001,Setuid and Setgid
T1548.002,Bypass User Account Control
T1548.003,Sudo and Sudo Caching
T1548.004,Elevated Execution with Prompt
T1134,Access Token Manipulation
T1134.001,Token Impersonation/Theft
T1134.002,Create Process with Token
T1134.003,Make and Impersonate Token
T1134.004,Parent PID Spoofing
T1134.005,SID-History Injection
T1197,BITS Jobs
T1612,Build Image on Host
T1622,Debugger Evasion
T1140,Deobfuscate/Decode Files or Information
T1610,Deploy Container
T1006,Direct Volume Access
T1484,Domain Policy Modification
T1484.001,Group Policy Modification
T1484.002,Domain Trust Modification
T1480,Execution Guardrails
T1480.001,Environmental Keying
T1211,Exploitation for Defense Evasion
T1222,File and Directory Permissions Modification
T1222.001,Windows File and Directory Permissions Modification
T1222.002,Linux and Mac File and Directory Permissions Modification
T1564,Hide Artifacts
T1564.001,Hidden Files and Directories
T1564.002,Hidden Users
T1564.003,Hidden Window
T1564.004,NTFS File Attributes
T1564.005,Hidden File System
T1564.006,Run Virtual Instance
T1564.007,VBA Stomping
T1564.008,Email Hiding Rules
T1564.009,Resource Forking
T1564.010,Process Argument Spoofing
T1574,Hijack Execution Flow
T1574.001,DLL Search Order Hijacking
T1574.002,DLL Side-Loading
T1574.004,Dylib Hijacking
T1574.005,Executable Installer File Permissions Weakness
T1574.006,Dynamic Linker Hijacking
T1574.007,Path Interception by PATH Environment Variable
T1574.008,Path Interception by Search Order Hijacking
T1574.009,Path Interception by Unquoted Path
T1574.010,Services File Permissions Weakness
T1574.011,Services Registry Permissions Weakness
T1574.012,COR_PROFILER
T1574.013,KernelCallbackTable
T1562,Impair Defenses
T1562.001,Disable or Modify Tools
T1562.002,Disable Windows Event Logging
T1562.003,Impair Command History Logging
T1562.004,Disable or Modify System Firewall
T1562.006,Indicator Blocking
T1562.007,Disable or Modify Cloud Firewall
T1562.008,Disable Cloud Logs
T1562.009,Safe Mode Boot
T1562.010,Downgrade Attack
T1070,Indicator Removal
T1070.001,Clear Windows Event Logs
T1070.002,Clear Linux or Mac System Logs
T1070.003,Clear Command History
T1070.004,File Deletion
T1070.005,Network Share Connection Removal
T1070.006,Timestomp
T1070.007,Clear Network Connection History and Configurations
T1070.008,Clear Mailbox Data
T1070.009,Clear Persistence
T1202,Indirect Command Execution
T1036,Masquerading
T1036.001,Invalid Code Signature
T1036.002,Right-to-Left Override
T1036.003,Rename System Utilities
T1036.004,Masquerade Task or Service
T1036.005,Match Legitimate Name or Location
T1036.006,Space after Filename
T1036.007,Double File Extension
T1556,Modify Authentication Process
T1556.001,Domain Controller Authentication
T1556.002,Password Filter DLL
T1556.003,Pluggable Authentication Modules
T1556.004,Network Device Authentication
T1556.005,Reversible Encryption
T1556.006,Multi-Factor Authentication
T1556.007,Hybrid Identity
T1578,Modify Cloud Compute Infrastructure
T1578.001,Create Snapshot
T1578.002,Create Cloud Instance
T1578.003,Delete Cloud Instance
T1578.004,Revert Cloud Instance
T1112,Modify Registry
T1601,Modify System Image
T1601.001,Patch System Image
T1601.002,Downgrade System Image
T1599,Network Boundary Bridging
T1599.001,Network Address Translation Traversal
T1027,Obfuscated Files or Information
T1027.001,Binary Padding
T1027.002,Software Packing
T1027.003,Steganography
T1027.004,Compile After Delivery
T1027.005,Indicator Removal from Tools
T1027.006,HTML Smuggling
T1027.007,Dynamic API Resolution
T1027.008,Stripped Payloads
T1027.009,Embedded Payloads
T1647,Plist File Modification
T1542,Pre-OS Boot
T1542.001,System Firmware
T1542.002,Component Firmware
T1542.003,Bootkit
T1542.004,ROMMONkit
T1542.005,TFTP Boot
T1055,Process Injection
T1055.001,Dynamic-link Library Injection
T1055.002,Portable Executable Injection
T1055.003,Thread Execution Hijacking
T1055.004,Asynchronous Procedure Call
T1055.005,Thread Local Storage
T1055.008,Ptrace System Calls
T1055.009,Proc Memory
T1055.011,Extra Window Memory Injection
T1055.012,Process Hollowing
T1055.013,Process Doppelgänging
T1055.014,VDSO Hijacking
T1055.015,ListPlanting
T1620,Reflective Code Loading
T1207,Rogue Domain Controller
T1014,Rootkit
T1553,Subvert Trust Controls
T1553.001,Gatekeeper Bypass
T1553.002,Code Signing
T1553.003,SIP and Trust Provider Hijacking
T1553.004,Install Root Certificate
T1553.005,Mark-of-the-Web Bypass
T1553.006,Code Signing Policy Modification
T1218,System Binary Proxy Execution
T1218.001,Compiled HTML File
T1218.002,Control Panel
T1218.003,CMSTP
T1218.004,InstallUtil
T1218.005,Mshta
T1218.007,Msiexec
T1218.008,Odbcconf
T1218.009,Regsvcs/Regasm
T1218.010,Regsvr32
T1218.011,Rundll32
T1218.012,Verclsid
T1218.013,Mavinject
T1218.014,MMC
T1216,System Script Proxy Execution
T1216.001,PubPrn
T1221,Template Injection
T1205,Traffic Signaling
T1205.001,Port Knocking
T1205.002,Socket Filters
T1127,Trusted Developer Utilities Proxy Execution
T1127.001,MSBuild
T1535,Unused/Unsupported Cloud Regions
T1550,Use Alternate Authentication Material
T1550.001,Application Access Token
T1550.002,Pass the Hash
T1550.003,Pass the Ticket
T1550.004,Web Session Cookie
T1078,Valid Accounts
T1078.001,Default Accounts
T1078.002,Domain Accounts
T1078.003,Local Accounts
T1078.004,Cloud Accounts
T1497,Virtualization/Sandbox Evasion
T1497.001,System Checks
T1497.002,User Activity Based Checks
T1497.003,Time Based Evasion
T1600,Weaken Encryption
T1600.001,Reduce Key Space
T1600.002,Disable Crypto Hardware
T1220,XSL Script Processing
TA0006,Credential Access
T1557,Adversary-in-the-Middle
T1557.001,LLMNR/NBT-NS Poisoning and SMB Relay
T1557.002,ARP Cache Poisoning
T1557.003,DHCP Spoofing
T1110,Brute Force
T1110.001,Password Guessing
T1110.002,Password Cracking
T1110.003,Password Spraying
T1110.004,Credential Stuffing
T1555,Credentials from Password Stores
T1555.001,Keychain
T1555.002,Securityd Memory
T1555.003,Credentials from Web Browsers
T1555.004,Windows Credential Manager
T1555.005,Password Managers
T1212,Exploitation for Credential Access
T1187,Forced Authentication
T1606,Forge Web Credentials
T1606.001,Web Cookies
T1606.002,SAML Tokens
T1056,Input Capture
T1056.001,Keylogging
T1056.002,GUI Input Capture
T1056.003,Web Portal Capture
T1056.004,Credential API Hooking
T1556,Modify Authentication Process
T1556.001,Domain Controller Authentication
T1556.002,Password Filter DLL
T1556.003,Pluggable Authentication Modules
T1556.004,Network Device Authentication
T1556.005,Reversible Encryption
T1556.006,Multi-Factor Authentication
T1556.007,Hybrid Identity
T1111,Multi-Factor Authentication Interception
T1621,Multi-Factor Authentication Request Generation
T1040,Network Sniffing
T1003,OS Credential Dumping
T1003.001,LSASS Memory
T1003.002,Security Account Manager
T1003.003,NTDS
T1003.004,LSA Secrets
T1003.005,Cached Domain Credentials
T1003.006,DCSync
T1003.007,Proc Filesystem
T1003.008,/etc/passwd and /etc/shadow
T1528,Steal Application Access Token
T1649,Steal or Forge Authentication Certificates
T1558,Steal or Forge Kerberos Tickets
T1558.001,Golden Ticket
T1558.002,Silver Ticket
T1558.003,Kerberoasting
T1558.004,AS-REP Roasting
T1539,Steal Web Session Cookie
T1552,Unsecured Credentials
T1552.001,Credentials In Files
T1552.002,Credentials in Registry
T1552.003,Bash History
T1552.004,Private Keys
T1552.005,Cloud Instance Metadata API
T1552.006,Group Policy Preferences
T1552.007,Container API
TA0007,Discovery
T1087,Account Discovery
T1087.001,Local Account
T1087.002,Domain Account
T1087.003,Email Account
T1087.004,Cloud Account
T1010,Application Window Discovery
T1217,Browser Bookmark Discovery
T1580,Cloud Infrastructure Discovery
T1538,Cloud Service Dashboard
T1526,Cloud Service Discovery
T1619,Cloud Storage Object Discovery
T1613,Container and Resource Discovery
T1622,Debugger Evasion
T1482,Domain Trust Discovery
T1083,File and Directory Discovery
T1615,Group Policy Discovery
T1046,Network Service Discovery
T1135,Network Share Discovery
T1040,Network Sniffing
T1201,Password Policy Discovery
T1120,Peripheral Device Discovery
T1069,Permission Groups Discovery
T1069.001,Local Groups
T1069.002,Domain Groups
T1069.003,Cloud Groups
T1057,Process Discovery
T1012,Query Registry
T1018,Remote System Discovery
T1518,Software Discovery
T1518.001,Security Software Discovery
T1082,System Information Discovery
T1614,System Location Discovery
T1614.001,System Language Discovery
T1016,System Network Configuration Discovery
T1016.001,Internet Connection Discovery
T1049,System Network Connections Discovery
T1033,System Owner/User Discovery
T1007,System Service Discovery
T1124,System Time Discovery
T1497,Virtualization/Sandbox Evasion
T1497.001,System Checks
T1497.002,User Activity Based Checks
T1497.003,Time Based Evasion
TA0008,Lateral Movement
T1210,Exploitation of Remote Services
T1534,Internal Spearphishing
T1570,Lateral Tool Transfer
T1563,Remote Service Session Hijacking
T1563.001,SSH Hijacking
T1563.002,RDP Hijacking
T1021,Remote Services
T1021.001,Remote Desktop Protocol
T1021.002,SMB/Windows Admin Shares
T1021.003,Distributed Component Object Model
T1021.004,SSH
T1021.005,VNC
T1021.006,Windows Remote Management
T1091,Replication Through Removable Media
T1072,Software Deployment Tools
T1080,Taint Shared Content
T1550,Use Alternate Authentication Material
T1550.001,Application Access Token
T1550.002,Pass the Hash
T1550.003,Pass the Ticket
T1550.004,Web Session Cookie
TA0009,Collection
T1557,Adversary-in-the-Middle
T1557.001,LLMNR/NBT-NS Poisoning and SMB Relay
T1557.002,ARP Cache Poisoning
T1557.003,DHCP Spoofing
T1560,Archive Collected Data
T1560.001,Archive via Utility
T1560.002,Archive via Library
T1560.003,Archive via Custom Method
T1123,Audio Capture
T1119,Automated Collection
T1185,Browser Session Hijacking
T1115,Clipboard Data
T1530,Data from Cloud Storage
T1602,Data from Configuration Repository
T1602.001,SNMP (MIB Dump)
T1602.002,Network Device Configuration Dump
T1213,Data from Information Repositories
T1213.001,Confluence
T1213.002,Sharepoint
T1213.003,Code Repositories
T1005,Data from Local System
T1039,Data from Network Shared Drive
T1025,Data from Removable Media
T1074,Data Staged
T1074.001,Local Data Staging
T1074.002,Remote Data Staging
T1114,Email Collection
T1114.001,Local Email Collection
T1114.002,Remote Email Collection
T1114.003,Email Forwarding Rule
T1056,Input Capture
T1056.001,Keylogging
T1056.002,GUI Input Capture
T1056.003,Web Portal Capture
T1056.004,Credential API Hooking
T1113,Screen Capture
T1125,Video Capture
TA0011,Command and Control
T1071,Application Layer Protocol
T1071.001,Web Protocols
T1071.002,File Transfer Protocols
T1071.003,Mail Protocols
T1071.004,DNS
T1092,Communication Through Removable Media
T1132,Data Encoding
T1132.001,Standard Encoding
T1132.002,Non-Standard Encoding
T1001,Data Obfuscation
T1001.001,Junk Data
T1001.002,Steganography
T1001.003,Protocol Impersonation
T1568,Dynamic Resolution
T1568.001,Fast Flux DNS
T1568.002,Domain Generation Algorithms
T1568.003,DNS Calculation
T1573,Encrypted Channel
T1573.001,Symmetric Cryptography
T1573.002,Asymmetric Cryptography
T1008,Fallback Channels
T1105,Ingress Tool Transfer
T1104,Multi-Stage Channels
T1095,Non-Application Layer Protocol
T1571,Non-Standard Port
T1572,Protocol Tunneling
T1090,Proxy
T1090.001,Internal Proxy
T1090.002,External Proxy
T1090.003,Multi-hop Proxy
T1090.004,Domain Fronting
T1219,Remote Access Software
T1205,Traffic Signaling
T1205.001,Port Knocking
T1205.002,Socket Filters
T1102,Web Service
T1102.001,Dead Drop Resolver
T1102.002,Bidirectional Communication
T1102.003,One-Way Communication
TA0010,Exfiltration
T1020,Automated Exfiltration
T1020.001,Traffic Duplication
T1030,Data Transfer Size Limits
T1048,Exfiltration Over Alternative Protocol
T1048.001,Exfiltration Over Symmetric Encrypted Non-C2 Protocol
T1048.002,Exfiltration Over Asymmetric Encrypted Non-C2 Protocol
T1048.003,Exfiltration Over Unencrypted Non-C2 Protocol
T1041,Exfiltration Over C2 Channel
T1011,Exfiltration Over Other Network Medium
T1011.001,Exfiltration Over Bluetooth
T1052,Exfiltration Over Physical Medium
T1052.001,Exfiltration over USB
T1567,Exfiltration Over Web Service
T1567.001,Exfiltration to Code Repository
T1567.002,Exfiltration to Cloud Storage
T1029,Scheduled Transfer
T1537,Transfer Data to Cloud Account
TA0040,Impact
T1531,Account Access Removal
T1485,Data Destruction
T1486,Data Encrypted for Impact
T1565,Data Manipulation
T1565.001,Stored Data Manipulation
T1565.002,Transmitted Data Manipulation
T1565.003,Runtime Data Manipulation
T1491,Defacement
T1491.001,Internal Defacement
T1491.002,External Defacement
T1561,Disk Wipe
T1561.001,Disk Content Wipe
T1561.002,Disk Structure Wipe
T1499,Endpoint Denial of Service
T1499.001,OS Exhaustion Flood
T1499.002,Service Exhaustion Flood
T1499.003,Application Exhaustion Flood
T1499.004,Application or System Exploitation
T1495,Firmware Corruption
T1490,Inhibit System Recovery
T1498,Network Denial of Service
T1498.001,Direct Network Flood
T1498.002,Reflection Amplification
T1496,Resource Hijacking
T1489,Service Stop
T1529,System Shutdown/Reboot
TA0027,Initial Access
T1456,Drive-By Compromise
T1461,Lockscreen Bypass
T1458,Replication Through Removable Media
T1474,Supply Chain Compromise
T1474.001,Compromise Software Dependencies and Development Tools
T1474.002,Compromise Hardware Supply Chain
T1474.003,Compromise Software Supply Chain
TA0041,Execution
T1623,Command and Scripting Interpreter
T1623.001,Unix Shell
T1575,Native API
T1603,Scheduled Task/Job
TA0028,Persistence
T1398,Boot or Logon Initialization Scripts
T1577,Compromise Application Executable
T1645,Compromise Client Software Binary
T1624,Event Triggered Execution
T1624.001,Broadcast Receivers
T1541,Foreground Persistence
T1625,Hijack Execution Flow
T1625.001,System Runtime API Hijacking
T1603,Scheduled Task/Job
TA0029,Privilege Escalation
T1626,Abuse Elevation Control Mechanism
T1626.001,Device Administrator Permissions
T1404,Exploitation for Privilege Escalation
T1631,Process Injection
T1631.001,Ptrace System Calls
TA0030,Defense Evasion
T1407,Download New Code at Runtime
T1627,Execution Guardrails
T1627.001,Geofencing
T1541,Foreground Persistence
T1628,Hide Artifacts
T1628.001,Suppress Application Icon
T1628.002,User Evasion
T1617,Hooking
T1629,Impair Defenses
T1629.001,Prevent Application Removal
T1629.002,Device Lockout
T1629.003,Disable or Modify Tools
T1630,Indicator Removal on Host
T1630.001,Uninstall Malicious Application
T1630.002,File Deletion
T1630.003,Disguise Root/Jailbreak Indicators
T1516,Input Injection
T1575,Native API
T1406,Obfuscated Files or Information
T1406.001,Steganography
T1406.002,Software Packing
T1631,Process Injection
T1631.001,Ptrace System Calls
T1604,Proxy Through Victim
T1632,Subvert Trust Controls
T1632.001,Code Signing Policy Modification
T1633,Virtualization/Sandbox Evasion
T1633.001,System Checks
TA0031,Credential Access
T1517,Access Notifications
T1414,Clipboard Data
T1634,Credentials from Password Store
T1634.001,Keychain
T1417,Input Capture
T1417.001,Keylogging
T1417.002,GUI Input Capture
T1635,Steal Application Access Token
T1635.001,URI Hijacking
TA0032,Discovery
T1420,File and Directory Discovery
T1430,Location Tracking
T1430.001,Remote Device Management Services
T1430.002,Impersonate SS7 Nodes
T1423,Network Service Scanning
T1424,Process Discovery
T1418,Software Discovery
T1418.001,Security Software Discovery
T1426,System Information Discovery
T1422,System Network Configuration Discovery
T1421,System Network Connections Discovery
TA0033,Lateral Movement
T1428,Exploitation of Remote Services
T1458,Replication Through Removable Media
TA0035,Collection
T1517,Access Notifications
T1638,Adversary-in-the-Middle
T1532,Archive Collected Data
T1429,Audio Capture
T1616,Call Control
T1414,Clipboard Data
T1533,Data from Local System
T1417,Input Capture
T1417.001,Keylogging
T1417.002,GUI Input Capture
T1430,Location Tracking
T1430.001,Remote Device Management Services
T1430.002,Impersonate SS7 Nodes
T1636,Protected User Data
T1636.001,Calendar Entries
T1636.002,Call Log
T1636.003,Contact List
T1636.004,SMS Messages
T1513,Screen Capture
T1409,Stored Application Data
T1512,Video Capture
TA0037,Command and Control
T1437,Application Layer Protocol
T1437.001,Web Protocols
T1616,Call Control
T1637,Dynamic Resolution
T1637.001,Domain Generation Algorithms
T1521,Encrypted Channel
T1521.001,Symmetric Cryptography
T1521.002,Asymmetric Cryptography
T1544,Ingress Tool Transfer
T1509,Non-Standard Port
T1644,Out of Band Data
T1481,Web Service
T1481.001,Dead Drop Resolver
T1481.002,Bidirectional Communication
T1481.003,One-Way Communication
TA0036,Exfiltration
T1639,Exfiltration Over Alternative Protocol
T1639.001,Exfiltration Over Unencrypted Non-C2 Protocol
T1646,Exfiltration Over C2 Channel
TA0034,Impact
T1640,Account Access Removal
T1616,Call Control
T1471,Data Encrypted for Impact
T1641,Data Manipulation
T1641.001,Transmitted Data Manipulation
T1642,Endpoint Denial of Service
T1643,Generate Traffic from Victim
T1516,Input Injection
T1464,Network Denial of Service
T1582,SMS Control
TA0108,Initial Access
T0817,Drive-by Compromise
T0819,Exploit Public-Facing Application
T0866,Exploitation of Remote Services
T0822,External Remote Services
T0883,Internet Accessible Device
T0886,Remote Services
T0847,Replication Through Removable Media
T0848,Rogue Master
T0865,Spearphishing Attachment
T0862,Supply Chain Compromise
T0864,Transient Cyber Asset
T0860,Wireless Compromise
TA0104,Execution
T0858,Change Operating Mode
T0807,Command-Line Interface
T0871,Execution through API
T0823,Graphical User Interface
T0874,Hooking
T0821,Modify Controller Tasking
T0834,Native API
T0853,Scripting
T0863,User Execution
TA0110,Persistence
T0891,Hardcoded Credentials
T0889,Modify Program
T0839,Module Firmware
T0873,Project File Infection
T0857,System Firmware
T0859,Valid Accounts
TA0111,Privilege Escalation
T0890,Exploitation for Privilege Escalation
T0874,Hooking
TA0103,Evasion
T0858,Change Operating Mode
T0820,Exploitation for Evasion
T0872,Indicator Removal on Host
T0849,Masquerading
T0851,Rootkit
T0856,Spoof Reporting Message
TA0102,Discovery
